date,841_no frills,841_walmart,841_superstore,841_sobeys,841_costco,47_honda,47_ford,47_dodge,47_nissan,47_toyota,1190_wolseley,1190_gm,1190_chrysler,1190_ford,1190_automotive,1191_bikes,1191_bmx,1191_velo,1191_bicycle,1191_bike,1140_canoe,1140_boat,1140_kayak,1140_bateau,1140_sail,1213_trailers,1213_roulotte,1213_trailer,1213_camper,1213_rv,1013_vintage,1013_cars,1013_encan,1013_classic cars,1013_tucker,1214_trailers,1214_trucks,1214_trailer,1214_truck,1214_hebdo,806_lamborghini,806_spartan,806_mclaren,806_bugatti,806_performance,810_electric car,810_hybrid,810_motor,810_toyota,810_prius,1317_buddy,1317_smart car,1317_morris,1317_smart,1317_door lock,273_yamaha,273_harley davidson,273_motorcycles,273_harley,273_motorcycle,148_ski doo,148_arctic cat,148_polaris,148_arctic,148_atv,1147_plane,1147_aircraft,1147_cessna,1147_titan,1147_airplane,1212_scooter,1212_scooters,1212_yamaha,1212_roller,1212_vespa,610_vans,610_truck,610_ford,610_suv,610_dodge,815_honda,815_ford,815_bmw,815_dodge,815_toyota,1294_points,1294_permis de conduire,1294_speeding ticket,1294_speeding,1294_driving test,170_driving school,170_driving,170_change address,170_license,170_plate,138_tools,138_auto repair,138_apk,138_mechanic,138_automotive,89_tires,89_auto parts,89_rims,89_tire,89_garmin,473_used,473_cars,473_auto,473_autotrader,473_car,803_auto show,803_2010,803_home show,803_convention centre,803_car show,121_super,121_super c,121_circulaire,121_iga,121_grocery,276_pizza,276_restaurant,276_tim hortons,276_pizza pizza,276_restaurants,650_portail,650_doors,650_air conditioner,650_wood,650_home depot,73_sears,73_walmart,73_walmart canada,73_canadian tire,73_store,355_books,355_renaud,355_livres,355_librairie,355_livre,1146_eb games,1146_ebgames,1146_eb,1146_game,1146_games,18_walmart,18_netflix,18_kijiji,18_canadian tire,18_amazon,1225_outlet,1225_costco hours,1225_outlets,1225_wholesale,1225_costco,270_ikea,270_ikea canada,270_lighting,270_furniture,270_light,659_gas station,659_gas,659_shell,659_oil,659_alberta,1268_gas prices,1268_gas costco,1268_gas,1268_costco,1268_gas buddy,38_saaq,38_blue cross,38_assurance,38_insurance,38_desjardins,844_barcode,844_display,844_pos,844_rfid,844_scanner,614_ticketmaster,614_cineplex,614_vancouver,614_ticket,614_centre bell
2004-11-01,4,15,21,8,11,62,59,46,68,52,17,18,48,68,84,36,49,4,41,16,7,21,13,20,37,23,5,16,10,18,34,66,65,84,14,56,80,22,47,51,46,19,94,21,44,4,25,91,16,28,26,45,59,42,16,65,34,54,38,54,17,65,48,64,62,21,75,62,14,34,38,29,34,35,27,22,59,51,32,36,60,68,4,52,59,90,47,60,66,28,32,39,35,22,21,83,20,0,31,47,50,46,72,39,14,66,76,57,49,69,6,0,11,100,20,12,6,1,4,11,17,38,16,17,25,1,48,1,60,19,71,16,21,27,42,66,42,63,87,49,29,49,31,37,33,16,0,0,18,7,28,0,10,70,11,17,21,98,83,31,7,56,86,59,63,3,0,4,0,0,17,72,36,59,24,62,64,84,67,77,50,30,70,72,36
2004-12-01,3,22,24,11,14,61,52,49,61,49,16,16,31,50,37,36,52,5,32,13,8,22,16,8,28,23,2,12,7,15,53,43,36,35,17,44,68,29,41,28,33,6,49,24,49,7,30,80,36,42,46,41,56,39,47,59,51,67,54,53,29,74,68,75,59,12,70,50,14,34,41,41,40,23,26,30,61,43,18,50,60,61,4,58,54,46,20,43,61,30,35,40,35,25,23,73,20,0,26,61,43,62,56,31,24,62,67,55,36,62,11,0,15,57,13,11,4,1,3,9,20,38,12,20,22,1,39,1,59,10,74,19,26,42,50,82,35,43,81,34,37,59,37,36,39,19,1,0,25,9,29,0,10,74,14,20,24,80,80,32,5,40,85,49,48,3,0,4,0,0,9,61,26,50,28,51,64,60,62,50,57,20,53,61,45
2005-01-01,6,12,19,13,10,64,54,50,66,57,36,12,43,54,43,35,52,7,35,13,5,30,15,17,38,35,9,21,13,24,38,47,57,48,18,52,77,30,28,47,47,12,26,16,58,7,26,90,18,23,21,41,34,44,39,62,43,71,53,63,20,72,70,71,72,19,68,49,100,36,25,25,36,34,42,31,68,46,26,34,60,55,4,58,57,50,41,52,46,19,21,38,45,14,16,100,18,0,44,58,23,60,52,21,20,72,82,64,44,71,100,0,61,67,66,11,7,1,5,8,20,34,13,20,22,0,48,1,66,20,53,11,13,15,30,84,39,41,78,31,32,45,31,33,36,11,0,0,14,7,20,1,6,66,9,17,21,77,85,28,6,51,70,59,63,4,0,5,0,2,11,73,38,57,33,63,59,65,51,72,42,30,59,58,26
2005-02-01,9,11,18,11,9,73,58,55,70,60,44,12,25,61,72,39,63,10,36,19,10,40,21,26,48,47,19,30,13,31,65,58,53,58,10,66,89,38,53,57,49,6,69,18,66,9,31,71,20,33,33,38,46,37,14,72,56,82,58,68,18,68,64,70,64,10,73,40,26,37,29,29,36,17,34,36,68,52,36,33,73,64,4,62,67,27,36,47,54,54,40,55,27,18,22,76,27,0,37,61,20,57,60,17,17,68,74,68,49,74,50,1,79,62,69,11,4,0,2,10,20,42,13,20,24,1,40,1,57,18,48,10,11,14,29,56,27,43,62,21,21,45,23,34,24,10,0,0,12,6,22,0,10,72,9,17,20,76,81,30,4,48,62,56,68,3,0,3,0,1,16,81,45,58,35,49,69,100,78,50,59,13,91,73,30
2005-03-01,8,11,18,12,10,86,59,57,69,66,50,14,19,45,69,53,63,18,51,26,22,38,25,23,45,59,26,38,17,33,20,64,32,70,8,77,75,37,37,58,47,9,47,31,65,9,28,100,32,54,38,48,41,54,12,81,57,84,61,74,18,59,65,59,100,12,78,51,12,37,43,37,65,37,53,27,86,52,39,39,89,65,5,64,69,34,23,29,52,37,47,59,34,20,21,64,28,0,36,55,23,57,83,20,23,76,82,69,54,85,21,0,84,61,41,9,4,1,5,10,18,33,21,18,22,1,51,2,64,16,53,11,12,18,35,55,28,55,52,33,31,58,33,39,33,11,0,0,13,6,28,1,11,72,10,19,24,87,87,30,8,54,70,58,59,7,0,8,0,1,12,80,46,63,39,51,80,82,68,66,79,19,78,96,62
2005-04-01,5,10,18,10,12,92,57,55,78,72,33,13,29,65,70,77,81,25,89,41,21,36,28,29,42,64,30,46,26,32,58,34,60,37,10,77,63,42,42,84,43,2,52,9,71,6,36,83,25,52,25,87,54,76,14,94,65,95,67,96,4,24,39,24,88,17,73,47,11,36,74,60,79,23,91,38,65,45,16,38,90,65,5,63,77,35,52,63,73,53,50,55,46,22,27,75,17,0,31,61,33,58,89,28,20,88,88,82,63,93,14,1,70,63,40,9,5,1,4,8,21,36,15,21,21,2,65,4,66,24,47,11,10,23,32,60,30,45,51,40,23,55,23,27,24,11,0,0,19,6,25,1,19,66,11,20,25,75,77,29,5,53,72,64,62,10,0,11,0,1,11,70,50,59,38,33,76,86,56,22,49,19,77,64,30
2005-05-01,6,10,19,11,11,86,56,56,72,70,47,16,17,71,81,73,100,27,86,37,36,45,36,31,44,54,24,45,23,37,26,54,81,48,20,73,63,47,46,79,47,12,41,28,63,15,35,73,28,41,49,54,46,57,37,92,49,97,56,77,3,16,33,16,85,22,67,66,18,40,74,51,74,35,73,43,69,47,24,42,84,59,5,64,71,40,39,72,100,42,44,62,35,22,16,85,27,0,18,51,29,63,84,24,20,86,86,75,65,81,4,0,14,54,29,11,6,1,6,8,17,36,17,17,24,1,69,6,73,23,52,12,13,28,33,52,32,34,46,26,22,37,22,31,26,12,0,0,21,6,32,1,16,63,11,17,21,69,80,26,6,52,65,54,49,7,0,8,0,1,26,82,48,64,39,50,67,63,73,44,66,28,58,69,23
2005-06-01,6,15,19,11,13,82,53,51,65,70,26,20,42,65,44,81,91,24,72,35,24,61,37,34,65,69,24,54,24,42,69,49,48,46,20,69,58,48,33,55,38,7,53,24,59,5,34,77,30,46,28,62,27,60,25,75,55,89,57,85,2,9,27,9,64,20,61,54,15,35,72,57,65,24,77,25,72,52,30,57,79,57,5,60,67,49,32,35,58,52,46,68,37,29,28,76,30,0,26,48,25,48,82,21,25,79,77,72,60,78,3,0,12,58,45,15,7,1,4,9,19,35,20,19,22,2,53,23,74,26,55,12,13,36,34,63,18,33,49,21,18,38,19,20,19,13,0,0,25,7,31,1,16,62,13,23,27,75,75,21,10,54,78,53,78,7,0,8,0,1,29,77,47,67,37,27,92,62,72,40,59,20,93,82,48
2005-07-01,8,15,21,15,12,89,61,66,79,77,32,18,36,81,65,80,76,27,74,40,32,68,57,37,44,88,27,61,37,48,67,55,58,29,9,73,67,50,39,56,40,8,41,38,76,3,30,80,33,40,33,38,39,45,39,85,64,86,69,79,3,18,28,19,62,21,74,66,18,29,80,50,87,19,97,39,64,40,23,64,85,65,5,71,77,56,34,45,49,38,65,67,47,29,27,67,37,0,38,72,24,71,90,21,22,83,79,79,62,84,3,0,17,28,40,12,8,2,7,8,19,37,17,18,25,1,60,20,73,17,63,14,16,33,41,63,39,33,53,12,30,54,31,32,33,14,0,0,23,7,42,1,20,59,12,25,27,66,87,22,7,51,83,52,58,11,0,11,0,3,29,90,49,68,42,82,65,61,83,63,57,44,82,71,46
2005-08-01,8,14,24,11,16,95,58,60,87,81,73,15,39,59,49,73,70,20,77,34,27,55,42,30,59,87,31,58,27,46,47,42,70,45,13,78,66,55,44,67,37,17,44,17,60,13,53,59,61,72,31,66,40,76,12,88,68,93,69,70,8,27,32,29,75,18,68,69,9,31,68,58,84,18,98,49,64,52,39,51,96,65,5,64,83,40,31,49,73,51,73,82,39,31,37,71,22,0,21,46,27,61,64,22,24,89,85,83,73,85,4,0,25,36,28,15,7,2,5,9,22,38,18,22,25,1,62,7,70,20,62,15,15,33,38,61,40,49,63,26,32,45,33,35,35,15,1,0,21,7,48,1,25,63,13,25,30,77,92,21,7,76,87,75,88,41,0,38,0,7,22,86,46,70,42,37,67,68,55,34,53,28,67,69,49
2005-09-01,9,11,22,15,11,90,50,47,68,73,15,22,17,72,59,66,71,13,55,27,17,37,22,21,58,54,16,31,12,28,60,46,44,49,14,66,67,37,38,47,46,6,49,24,60,17,62,63,50,55,34,70,41,73,0,72,55,80,56,62,11,31,37,33,78,14,52,44,24,34,58,71,89,24,75,35,61,50,26,44,98,52,4,57,82,60,42,54,63,45,37,51,43,26,22,77,26,0,32,48,30,61,47,24,21,79,81,69,57,70,5,0,42,86,20,11,6,2,5,8,18,37,13,18,24,1,60,2,75,17,54,11,13,21,36,85,47,54,80,28,33,60,34,36,36,11,0,1,17,7,27,0,16,61,11,21,23,74,84,25,6,77,84,78,88,100,1,88,1,19,21,78,38,57,43,48,75,55,35,44,64,11,81,82,70
2005-10-01,9,13,18,11,10,83,48,49,61,73,42,16,27,49,51,48,63,12,39,20,9,31,13,14,35,31,9,19,18,21,55,41,27,41,16,60,69,31,49,34,39,9,31,30,49,12,48,42,42,47,22,36,44,38,20,62,45,56,48,48,15,42,42,43,85,16,48,54,18,30,43,41,55,31,59,32,65,36,18,35,95,55,5,56,79,23,28,34,57,41,43,57,36,23,24,97,14,0,31,44,43,52,60,34,18,67,66,64,47,68,8,0,44,88,20,9,6,2,6,8,21,37,16,21,21,1,62,2,70,17,58,14,17,22,40,58,32,32,58,31,35,65,38,34,38,15,0,0,17,8,30,0,19,65,14,17,17,83,82,23,7,65,82,64,87,11,0,11,0,2,22,78,37,50,37,24,88,58,71,32,60,13,78,84,86
2005-11-01,9,17,18,8,14,69,45,40,61,61,41,28,19,61,72,32,44,5,33,15,10,19,13,10,39,24,5,13,11,16,42,35,38,34,26,56,79,36,57,39,34,10,53,39,50,9,32,65,23,39,31,22,29,28,0,52,38,46,40,48,19,49,49,49,68,18,73,39,16,30,27,18,37,40,39,30,65,39,29,33,74,47,4,49,63,29,47,46,46,38,32,48,33,24,21,84,29,0,32,60,58,44,58,45,21,61,65,57,48,60,6,0,18,78,9,11,5,1,6,8,21,44,18,21,24,2,45,1,63,12,67,17,20,29,44,55,31,63,68,35,41,61,42,42,43,18,0,1,24,8,39,1,20,58,14,19,23,78,83,30,5,51,82,62,80,5,0,7,0,2,13,66,35,52,37,56,82,70,71,35,70,24,87,98,85
2005-12-01,9,24,28,13,18,63,43,44,57,49,35,11,14,56,38,26,64,6,30,13,6,19,9,10,32,22,3,15,11,14,51,42,32,34,37,48,62,22,44,37,44,9,27,59,36,6,16,81,11,21,36,22,48,24,40,60,44,49,50,48,23,58,67,57,66,9,68,32,18,33,28,20,42,29,35,26,61,50,23,36,66,44,4,51,57,36,22,31,37,37,38,43,37,15,18,77,40,0,21,55,33,42,47,26,26,57,58,53,44,56,12,0,12,42,8,12,6,1,6,9,24,44,15,24,23,0,41,1,54,11,73,21,24,39,47,59,46,44,95,47,48,84,49,47,50,23,0,0,29,10,36,0,22,63,17,20,23,63,79,27,3,50,73,50,65,4,0,5,0,1,12,76,25,48,37,38,70,52,36,56,60,21,70,67,84
2006-01-01,11,13,19,11,10,73,52,66,63,63,39,15,15,76,28,32,49,10,33,14,8,32,13,26,34,31,9,21,9,28,29,52,52,50,42,60,62,37,40,49,39,12,47,56,50,10,33,68,23,21,30,18,40,25,42,65,49,60,53,57,22,60,53,61,68,17,58,58,19,32,29,22,52,47,41,28,70,48,25,45,77,55,4,78,65,55,41,34,47,17,46,57,47,24,20,81,21,0,29,57,20,53,42,16,23,67,68,67,55,60,90,0,67,80,57,14,11,3,7,7,22,40,15,22,21,1,42,1,63,16,53,12,14,26,35,77,34,52,73,30,30,50,30,35,32,13,1,1,15,8,24,1,13,60,13,21,23,78,97,25,5,58,100,66,100,5,0,6,0,1,18,90,40,54,40,44,78,62,49,44,41,26,61,58,46
2006-02-01,17,11,17,13,11,70,51,59,63,66,47,16,16,45,49,34,55,13,37,19,11,33,18,15,41,47,15,35,10,30,57,38,44,42,16,65,66,39,41,54,34,10,58,48,54,7,32,77,22,27,24,18,28,21,36,69,41,54,46,56,21,67,54,67,72,24,72,44,14,44,31,26,48,43,36,23,57,43,29,43,73,54,5,65,72,44,26,50,53,33,42,53,29,20,17,73,20,0,39,54,18,53,48,15,25,72,71,74,54,62,57,1,63,62,70,13,8,2,8,8,25,41,20,25,25,0,48,1,61,15,47,10,10,21,34,46,29,46,54,34,27,53,27,24,28,10,1,1,14,8,26,0,13,60,12,19,23,87,86,27,4,56,66,65,88,5,0,5,0,0,17,91,43,51,41,37,89,66,79,47,53,16,79,65,48
2006-03-01,12,12,20,13,12,81,51,63,68,78,44,23,23,49,69,48,59,18,48,26,18,31,25,21,44,55,20,41,20,35,40,38,57,31,28,64,69,44,51,88,44,12,62,45,47,6,31,82,18,30,42,20,55,24,39,76,53,73,58,69,18,63,57,63,86,12,52,40,23,40,40,36,44,32,50,39,74,45,28,42,83,55,4,69,86,41,55,46,60,42,49,61,25,22,25,71,22,0,33,54,25,60,65,22,24,81,74,78,67,75,17,0,73,70,40,14,8,2,6,9,22,38,46,22,21,1,54,2,65,18,50,11,12,23,34,60,26,45,55,46,29,52,29,26,30,13,0,1,19,8,32,1,15,57,11,21,22,83,87,25,6,64,92,68,97,8,0,9,0,2,25,89,44,58,42,15,86,59,70,38,41,25,64,55,52
2006-04-01,15,14,21,14,12,95,56,68,70,85,42,17,35,47,38,70,66,27,71,35,24,36,26,26,44,67,22,49,21,44,57,46,64,37,23,69,63,49,38,63,43,6,36,41,55,12,44,65,25,29,31,25,40,28,25,90,58,95,62,91,5,34,30,34,86,15,55,37,25,33,70,48,64,43,85,37,72,48,28,54,100,58,5,77,93,47,43,47,58,33,49,68,35,22,28,70,28,0,34,56,30,61,80,27,29,83,83,95,70,73,8,0,59,57,35,14,9,3,7,7,23,36,24,23,20,1,54,5,67,24,55,14,15,35,36,50,36,46,49,29,29,53,30,28,29,14,0,2,24,7,35,1,18,54,16,21,26,63,77,20,8,60,83,73,93,17,0,17,0,6,18,71,45,55,46,18,79,45,52,40,47,27,74,76,80
2006-05-01,12,17,21,13,13,88,55,64,68,78,34,11,26,66,32,68,77,25,73,35,23,45,33,28,44,67,26,50,18,48,55,32,58,30,14,83,58,53,35,58,48,10,34,71,58,13,36,63,24,31,33,28,36,33,24,81,62,83,66,82,3,17,26,16,80,10,57,48,15,43,74,57,93,27,98,33,66,45,20,48,89,54,5,74,87,58,41,55,60,38,53,71,45,28,31,75,29,0,29,44,25,64,69,23,29,74,76,86,76,67,1,0,6,42,18,14,7,2,6,8,19,40,19,19,22,1,58,13,55,31,55,14,14,46,36,54,25,37,51,23,26,50,27,28,28,14,0,2,28,8,40,1,16,61,15,25,31,70,79,18,6,56,71,64,88,10,0,10,0,2,20,75,45,59,50,40,80,55,60,39,57,24,57,61,45
2006-06-01,14,16,24,14,15,83,50,65,71,72,77,13,13,47,30,65,81,27,66,35,22,50,39,33,49,70,23,61,26,47,43,49,32,48,30,65,69,55,44,63,35,9,34,37,55,14,24,59,21,31,35,30,55,36,33,76,59,68,62,84,2,11,23,12,71,16,55,44,21,30,54,53,83,32,84,31,64,45,25,47,82,55,5,73,76,49,46,34,47,31,62,71,45,26,25,68,33,0,21,53,20,67,62,21,36,79,81,82,71,69,4,0,5,42,30,14,9,2,8,8,20,37,15,20,22,1,52,15,65,26,57,15,15,50,41,52,18,34,48,26,32,52,33,29,33,15,0,2,28,7,30,0,19,54,16,23,27,71,73,21,5,57,75,60,78,7,0,8,0,2,18,78,48,59,46,50,60,52,63,47,61,26,83,66,35
