date,841_No Frills,841_Flyer,841_Costco,841_Real Canadian Superstore,841_Canada,47_Ford,47_Car,47_Honda,47_Canada,47_Sales,1190_Ford,1190_Car,1190_General Motors,1190_Canada,1191_Mountain,1191_Motorcycle,1191_Mountain bike,1191_Bicycle,1191_Canada,1140_Kayak,1140_Outboard motor,1140_Boat,1140_KAYAK,1140_Sales,1213_Caravan,1213_Travel,1213_Trailer,1213_Recreational vehicle,1213_Sales,1013_Classic car,1013_Car,1013_Sales,1013_Auction,1013_Classic,1214_Ritchie Bros. Auctioneers,1214_Car,1214_Trailer,1214_Truck,1214_Sales,806_Lamborghini,806_Bugatti,806_Car,806_Truck,810_Car,810_Electric vehicle,810_Canada,810_Hybrid vehicle,810_Electric car,1317_Smart,1317_Door,1317_Car,1317_Lock,273_Motorcycle,273_Yamaha Motor Company,273_Harley-Davidson,273_Canada,273_Sales,148_Arctic Cat,148_Ski-Doo,148_Snowmobile,148_Polaris Inc.,1147_Aircraft,1147_Airplane,1147_Cessna,1147_Sales,1212_Motorcycle,1212_Scooter,1212_Vespa,1212_Canada,1212_Kick scooter,610_Ford,610_Van,610_Sport utility vehicle,610_Truck,610_Sales,815_Ford,815_Car,815_Honda,815_Canada,815_Sales,1294_Ontario,1294_Traffic ticket,1294_Test,1294_Driving,1294_Speed limit,170_License,170_Driving school,170_Driving,170_Vehicle registration plate,170_Driver's license,138_Code,138_Oil,138_Car,138_apk,89_Rim,89_Car,89_Wheel,89_Tire,89_Canada,473_Used car,473_Auto Trader Group,473_Car,473_Canada,473_Sales,803_Toronto,803_Auto show,803_Car,803_2010,803_Air show,121_Super C,121_IGA,121_Grocery store,121_IGA Extra,121_Circulaire,276_Toronto,276_Menu,276_Domino's Pizza,276_Restaurant,276_McDonald's,650_Door,650_The Home Depot,650_Canada,650_Wood,650_Air conditioning,73_Walmart,73_Canadian Tire,73_Calgary,73_Walmart Canada,73_Walmart Pharmacy,355_Bookstore,355_Renaud-Bray,355_Book,355_Archambault,1146_Game,1146_EB Games Australia,1146_Video game,1146_Canada,1146_EB Games,18_Walmart,18_Canadian Tire,18_Kijiji,18_Canada,18_Shoes,1225_Canada,1225_Costco,1225_Hour,1225_Wholesaling,1225_Outlet store,270_IKEA,270_Canada,270_Furniture,270_Light,659_Oil,659_Petroleum,659_Gas,659_Filling station,659_Gasoline,1268_Costco Gasoline,1268_GasBuddy,1268_Costco,1268_Price,1268_Gasoline,38_Insurance,38_Canada,38_Vehicle insurance,38_Desjardins Group,38_Ontario,844_Image scanner,844_Point of sale,844_Barcode,844_Canada,614_Vancouver,614_Ticket,614_Ticketmaster,614_Cineplex Entertainment,614_Centre Bell
2004-11-01,4,5,11,65,32,60,76,62,79,58,68,55,87,73,35,16,32,42,16,13,31,21,13,25,9,13,16,67,27,31,57,0,25,74,0,9,22,48,25,46,20,62,17,15,14,12,47,4,41,13,43,0,55,0,45,55,23,65,51,71,0,76,34,62,63,30,38,28,30,0,51,43,0,59,56,67,84,60,77,58,78,62,23,93,9,22,34,38,87,15,14,32,43,0,32,78,36,39,76,58,80,68,63,43,35,6,22,0,7,6,4,16,0,1,81,6,15,38,24,25,15,46,60,13,16,27,34,21,0,48,94,91,32,39,0,52,38,29,16,18,0,23,49,29,11,0,0,30,17,28,83,31,59,72,57,100,56,0,1,0,1,16,59,69,69,0,70,0,50,61,38,71,77,51,0,36
2004-12-01,3,4,13,85,42,53,72,61,71,55,50,42,42,63,23,0,20,33,11,16,20,22,16,50,17,15,12,32,19,30,60,27,24,47,62,25,29,42,49,34,23,56,39,16,13,17,0,7,37,38,39,28,53,0,74,46,7,75,77,94,0,69,34,50,34,47,42,27,37,0,44,41,0,60,39,61,69,60,65,50,73,46,24,67,9,25,38,41,0,17,19,11,29,0,46,81,35,31,67,55,0,61,52,43,19,11,20,0,6,4,3,12,0,1,83,6,24,38,19,26,0,33,59,10,19,42,41,26,0,59,98,96,37,36,0,36,40,37,19,26,0,28,48,50,14,0,0,47,20,27,79,33,49,53,40,0,46,0,0,0,5,4,50,61,22,15,50,0,42,54,59,52,62,58,0,46
2005-01-01,5,4,10,55,31,54,78,64,73,72,54,84,41,64,35,13,30,34,11,15,24,31,15,60,20,21,21,45,28,58,56,22,100,71,0,35,30,30,47,47,15,70,55,15,16,13,37,7,43,31,40,46,64,0,51,60,12,71,91,80,0,67,36,49,11,16,25,43,27,0,48,53,0,69,64,55,72,60,75,87,40,55,21,81,7,15,20,36,0,10,18,21,26,0,28,72,32,21,54,65,0,71,65,52,65,100,65,0,4,7,5,11,11,1,86,6,21,34,26,30,37,44,66,15,11,15,24,13,0,81,100,98,25,34,0,71,28,32,11,14,0,20,36,36,9,0,0,48,17,28,85,28,59,76,52,0,41,0,1,0,4,3,57,74,27,13,62,0,49,67,45,58,55,42,0,27
2005-02-01,8,3,9,58,29,58,77,72,78,81,61,38,38,56,38,14,34,36,19,20,9,40,20,57,12,35,30,19,48,44,71,97,43,71,0,8,38,51,58,50,17,56,60,16,12,12,40,7,38,34,42,12,67,69,28,73,27,67,78,72,0,73,37,40,18,51,29,35,17,0,52,47,69,68,55,65,80,73,79,67,67,65,35,64,8,18,39,55,75,11,27,17,34,0,27,64,40,17,57,67,0,74,73,61,77,48,69,1,6,4,3,11,0,0,86,6,23,42,23,29,27,38,56,11,10,14,25,12,1,37,81,53,29,33,0,45,22,21,10,12,0,19,43,33,8,0,0,31,17,26,80,30,56,72,48,0,25,0,0,0,3,3,58,71,20,0,64,0,53,52,65,91,71,61,0,29
2005-03-01,8,4,10,51,27,60,84,86,83,81,47,44,63,55,56,47,61,52,22,25,44,39,25,41,16,50,39,49,73,64,71,20,55,85,0,19,37,36,52,48,31,71,38,24,5,11,17,9,53,0,49,21,74,58,75,73,34,58,49,51,0,77,37,49,41,21,43,55,34,0,51,54,0,87,58,65,86,88,86,65,59,100,32,74,13,20,46,59,0,18,19,22,32,0,24,74,39,20,63,72,0,85,73,77,66,22,57,0,8,4,5,12,19,1,79,6,22,33,26,28,11,39,65,17,11,18,38,12,0,48,40,58,20,39,0,60,19,32,11,13,0,19,48,40,10,0,0,35,19,28,87,29,58,81,54,0,64,0,1,0,6,25,63,72,50,12,63,0,76,47,34,77,91,80,0,62
2005-04-01,5,5,12,45,28,56,95,93,88,81,65,51,43,40,76,68,80,89,32,29,40,36,29,46,18,51,46,9,56,56,48,24,42,67,0,22,42,42,53,43,8,63,36,27,34,17,59,6,76,11,83,12,95,0,70,100,26,25,19,18,0,73,35,49,41,33,75,92,47,0,46,43,0,66,54,65,83,89,87,79,49,40,40,74,7,22,51,54,0,12,17,36,45,0,39,83,45,28,73,81,0,92,78,62,44,14,54,1,11,5,4,12,0,1,76,6,22,36,27,34,13,45,66,23,11,23,32,10,0,38,46,72,34,28,0,38,17,22,10,19,0,19,54,30,10,0,0,30,20,25,76,29,64,73,52,0,53,0,1,0,7,72,59,72,86,13,68,0,36,35,52,75,64,49,0,30
2005-05-01,6,3,11,52,31,57,86,86,83,76,71,67,44,63,74,37,72,84,28,36,57,45,36,51,18,48,45,42,46,51,64,43,19,56,0,40,46,45,51,47,26,70,37,24,21,16,18,16,58,20,55,43,77,0,88,72,23,16,12,15,0,67,39,69,37,30,75,71,47,0,46,50,0,68,49,59,80,83,81,65,53,52,29,82,13,22,45,62,0,15,24,25,45,0,39,75,45,24,66,77,0,81,73,65,24,4,37,0,14,6,6,13,0,1,87,6,16,36,24,26,12,46,73,33,12,28,36,13,0,42,65,73,26,32,0,28,18,22,12,21,0,19,47,31,11,60,0,55,17,24,79,26,54,80,51,0,59,0,0,0,6,21,65,71,52,0,63,0,47,53,75,58,69,66,0,23
2005-06-01,6,4,13,48,30,53,83,82,84,87,65,25,67,84,72,0,72,72,36,37,58,61,37,66,46,57,54,60,62,44,63,43,19,53,100,40,47,32,45,38,23,61,27,17,26,12,36,5,61,20,59,33,85,0,70,70,36,9,10,10,0,60,35,54,33,23,73,77,46,0,51,53,0,73,50,57,74,79,84,80,86,53,36,83,14,29,44,67,0,22,20,22,50,0,26,75,45,21,71,76,0,78,75,59,15,3,57,0,35,7,4,19,10,1,83,6,23,35,21,31,36,55,73,100,12,36,32,13,0,41,54,78,24,21,0,23,18,18,13,25,0,20,43,29,13,0,0,33,23,26,75,20,54,77,54,0,48,0,1,0,4,15,67,69,53,12,57,0,52,29,55,92,82,58,0,48
2005-07-01,8,5,12,56,37,61,87,88,94,96,81,54,100,97,70,13,70,74,29,56,80,69,56,70,26,62,60,100,81,38,69,23,20,37,0,35,51,39,55,40,38,55,28,19,22,20,57,4,44,42,39,46,79,65,47,83,81,19,9,9,0,74,29,67,46,87,78,97,65,21,41,73,0,63,26,65,74,84,100,100,100,56,33,50,7,29,65,66,0,17,26,29,49,0,30,84,33,21,66,76,0,84,89,55,17,3,49,0,90,8,7,13,21,2,93,5,14,37,20,25,0,50,72,69,14,33,37,16,1,60,70,71,24,29,0,30,20,31,14,23,0,20,42,33,12,0,0,54,25,32,86,22,52,77,52,0,36,0,1,0,6,13,68,71,46,13,68,0,50,75,92,82,70,57,0,46
2005-08-01,8,6,16,66,38,58,91,96,91,90,59,29,61,99,61,37,61,78,25,44,57,55,44,62,19,77,58,26,83,63,66,21,19,58,0,60,55,43,64,36,15,66,33,27,5,30,18,14,77,30,67,22,71,0,64,70,47,27,12,12,0,68,31,65,32,37,66,99,61,0,53,60,0,64,79,65,91,97,91,76,67,52,41,62,34,32,75,84,66,18,26,21,42,0,21,71,32,22,59,81,0,85,89,74,21,4,37,0,97,7,5,10,10,2,83,6,20,39,18,29,12,48,70,36,15,32,37,15,1,73,30,75,26,36,0,91,17,32,15,21,0,21,52,30,13,0,0,50,25,29,92,21,75,81,77,0,56,0,4,0,17,65,70,79,78,0,73,0,19,35,18,67,69,53,0,49
2005-09-01,9,5,11,64,30,50,77,90,81,73,72,71,98,79,55,22,43,55,21,22,55,36,22,66,10,44,31,23,36,45,54,19,17,58,0,24,37,36,37,46,23,52,10,41,23,21,47,17,72,0,69,0,62,54,65,77,31,32,19,27,0,52,34,47,38,20,56,74,73,0,49,48,0,61,33,52,69,97,80,54,70,51,33,61,24,26,37,52,0,17,16,24,38,0,25,65,29,24,58,70,0,70,90,62,42,5,34,0,37,6,6,13,0,2,82,7,18,37,23,28,42,43,75,19,11,21,36,13,2,93,58,89,27,34,0,66,24,34,11,17,1,20,48,33,11,0,0,57,21,27,84,25,78,95,76,0,100,0,8,1,34,100,57,65,54,11,65,0,38,50,35,81,79,63,0,71
2005-10-01,9,6,10,41,29,48,70,83,76,69,49,44,67,80,40,10,42,38,15,13,33,31,13,48,13,24,20,0,42,22,38,17,15,44,0,27,32,49,44,38,30,50,32,26,13,17,57,13,38,16,40,18,49,0,55,46,47,43,41,51,0,47,30,54,34,48,42,58,41,16,36,45,0,65,39,55,67,95,80,62,63,42,21,71,5,23,44,57,53,16,21,25,31,0,37,61,33,34,73,62,0,68,68,45,58,8,28,0,4,6,6,12,8,2,78,6,27,37,25,28,19,40,70,15,14,22,31,17,1,40,67,63,27,35,0,46,43,37,14,17,0,20,49,35,14,0,47,56,17,23,81,23,65,73,65,0,54,0,1,0,7,40,50,57,21,0,54,0,45,23,64,77,83,60,0,87
2005-11-01,9,6,14,53,34,45,63,69,66,61,61,67,84,82,26,10,20,33,12,13,8,19,13,39,9,21,13,7,15,22,39,17,0,42,39,32,37,56,46,34,38,52,28,19,25,9,42,8,29,0,22,0,48,49,51,52,9,48,45,61,0,74,31,40,34,18,28,39,19,0,39,47,49,65,58,47,63,73,68,52,55,46,29,79,0,24,32,48,0,14,12,15,28,0,27,60,35,45,72,52,0,60,56,57,36,5,12,0,3,5,6,10,8,1,87,7,25,44,23,31,9,41,63,12,17,29,35,20,1,57,57,63,37,42,0,36,30,41,18,24,1,25,52,28,14,0,47,44,19,25,82,30,62,67,51,0,70,0,1,0,4,12,53,56,55,19,59,0,52,56,58,88,100,70,0,87
2005-12-01,9,6,18,67,47,42,57,64,59,58,54,27,40,40,24,10,25,30,16,9,15,19,9,36,11,14,15,0,16,32,32,35,0,42,0,38,23,44,49,44,57,46,41,15,17,10,0,6,23,40,26,35,48,0,48,53,29,55,60,85,0,66,33,31,22,6,28,34,25,0,51,35,0,60,50,44,53,66,61,73,67,34,28,71,16,15,38,43,0,9,19,16,27,0,28,61,22,26,59,53,0,55,46,46,19,11,18,0,4,6,6,12,8,1,97,7,32,44,18,25,0,31,54,9,21,39,61,24,2,66,82,100,44,48,0,69,36,48,23,29,0,30,50,34,17,0,0,48,20,29,79,27,50,67,51,0,41,0,1,0,3,17,48,49,42,0,47,0,27,40,35,70,67,61,0,84
2006-01-01,11,5,10,40,29,52,65,73,68,69,76,20,46,53,23,34,22,32,13,13,18,32,13,51,10,33,21,23,35,30,47,44,26,60,68,55,37,40,48,39,56,88,100,17,4,17,12,9,25,34,20,38,57,0,67,57,24,60,58,70,0,58,33,61,15,21,29,42,24,0,48,47,0,69,50,55,60,77,71,69,50,40,20,65,19,24,48,59,0,17,17,15,27,0,21,52,26,16,49,58,0,60,55,63,50,90,60,0,4,11,7,11,0,3,88,7,25,40,20,23,8,38,63,9,12,26,27,14,2,55,82,76,39,33,0,51,30,30,13,15,1,20,41,30,13,0,0,32,21,27,97,25,66,70,59,0,41,0,1,0,3,18,54,61,60,17,55,0,32,41,50,61,58,41,0,46
2006-02-01,16,7,11,31,26,51,62,70,68,67,47,34,28,71,32,27,30,37,17,18,13,33,18,48,17,37,35,25,38,9,40,31,0,47,36,29,39,40,40,35,46,58,37,13,15,13,0,7,22,29,21,40,57,89,46,61,34,66,58,68,0,73,43,45,16,11,31,37,31,0,43,46,0,57,49,54,64,73,71,70,57,42,30,60,10,20,42,53,0,14,13,13,24,0,26,52,29,15,55,62,0,61,59,58,75,56,64,1,7,7,8,8,0,2,87,7,27,41,22,27,0,41,61,16,10,21,33,10,0,34,65,50,23,23,0,25,25,27,10,14,1,17,42,28,12,0,43,27,19,26,85,27,66,71,56,0,47,0,0,0,3,6,51,63,25,9,50,0,27,34,47,79,66,53,0,49
2006-03-01,12,5,12,40,28,51,69,82,85,79,49,48,71,82,43,24,41,48,24,25,30,31,25,40,20,52,41,11,54,35,46,27,37,39,0,30,44,51,51,44,44,57,41,14,13,13,11,6,24,38,22,35,69,39,75,61,19,63,46,47,0,52,40,41,17,24,39,49,30,0,46,48,0,74,47,55,69,83,75,79,65,60,37,57,9,22,50,62,0,11,21,21,30,0,30,60,35,22,54,68,0,74,65,67,59,17,44,0,10,8,6,12,26,2,78,7,23,38,22,25,8,41,64,20,11,23,36,12,2,33,42,69,41,26,0,18,25,28,13,19,1,19,53,25,11,39,0,44,21,25,87,25,68,78,64,0,38,0,1,0,7,9,58,62,44,16,60,0,42,16,51,64,52,40,0,52
2006-04-01,15,6,13,43,28,56,72,96,95,77,47,29,61,76,69,34,62,72,36,25,44,35,25,66,26,61,50,23,59,38,47,15,26,52,0,50,49,35,61,43,39,55,48,28,14,14,24,11,28,14,28,22,90,0,47,89,32,34,15,18,0,55,34,36,15,51,69,86,52,0,49,50,0,72,54,57,64,100,82,58,54,36,33,63,5,22,50,67,0,14,18,21,39,0,31,63,47,27,70,68,0,73,73,67,47,8,47,0,7,9,7,10,7,3,75,7,27,36,24,28,0,46,67,19,14,35,37,15,3,32,33,56,22,28,0,23,20,30,14,24,2,18,59,27,16,0,80,50,21,27,77,20,73,75,61,0,60,0,3,0,7,38,55,55,47,8,53,0,23,19,52,73,75,46,0,80
2006-05-01,12,5,13,52,30,55,71,89,80,82,68,50,54,73,62,24,57,74,31,32,59,44,32,53,6,58,51,22,60,31,47,28,38,38,0,44,53,35,82,49,69,52,30,31,10,14,0,12,34,20,27,21,83,0,55,75,39,17,11,10,0,57,43,48,32,49,75,97,51,13,43,60,40,67,56,54,70,89,70,69,63,38,28,71,18,28,52,72,87,20,33,25,33,0,32,65,39,23,62,68,0,67,63,66,16,1,30,0,20,7,7,13,13,2,83,6,18,40,18,29,15,50,54,61,14,46,45,14,4,48,51,57,20,29,0,11,13,27,14,28,2,19,57,24,15,0,0,54,25,29,79,19,64,79,56,0,68,0,0,0,6,23,59,63,80,0,63,0,37,42,45,57,58,57,0,46
2006-06-01,14,5,14,52,29,50,71,84,76,83,47,52,26,61,61,33,64,65,31,39,67,50,39,48,21,61,62,29,68,37,35,15,26,47,0,54,56,42,87,36,39,59,30,23,18,11,24,14,35,34,33,22,84,0,54,63,32,12,9,9,0,55,30,45,26,25,54,83,43,14,44,64,0,63,58,54,69,82,71,55,71,36,31,56,9,26,63,71,0,18,33,25,39,0,21,61,36,21,58,71,0,69,60,66,13,4,39,0,89,9,8,7,7,2,78,6,24,37,21,29,24,51,66,60,15,50,41,15,0,46,53,61,24,29,0,39,20,33,15,28,2,19,48,22,16,0,0,44,23,25,73,21,60,100,58,0,60,0,1,0,5,18,59,59,89,0,61,0,26,51,49,84,66,63,0,35
2006-07-01,15,7,17,67,35,56,74,89,89,97,39,32,35,75,61,34,58,66,23,53,79,68,53,93,21,74,57,36,82,52,57,0,0,66,0,32,57,55,49,47,44,57,34,34,11,21,25,27,29,35,30,30,75,0,68,76,49,16,8,5,0,65,25,62,30,21,66,84,51,0,48,67,0,61,51,60,67,90,79,55,51,40,40,57,19,27,59,75,46,18,20,23,35,0,26,63,31,21,59,76,0,74,73,88,13,3,38,0,36,10,7,12,14,2,88,6,24,39,23,30,33,53,58,68,18,48,45,21,3,30,29,62,17,37,0,39,25,35,18,30,2,19,45,34,17,0,0,45,28,31,86,21,58,57,55,53,35,0,0,0,5,31,62,63,30,0,63,0,13,34,43,77,67,66,0,35
