date,841_Flyer,841_Canada,841_No Frills,841_Costco,841_Real Canadian Superstore,47_Car,47_Canada,47_Sales,47_Honda,47_Ford,1190_Car,1190_Canada,1190_Ford,1190_General Motors,1191_Motorcycle,1191_Mountain bike,1191_Canada,1191_Bicycle,1191_Mountain,1140_KAYAK,1140_Kayak,1140_Sales,1140_Outboard motor,1140_Boat,1213_Living van,1213_Trailer,1213_Sales,1213_Recreational vehicle,1213_Caravan,1013_Car,1013_Auction,1013_Sales,1013_Classic,1013_Classic car,1214_Car,1214_Trailer,1214_Sales,1214_Ritchie Bros. Auctioneers,1214_Truck,806_Car,806_Truck,806_Bugatti,806_Lamborghini,810_Car,810_Canada,810_Electric vehicle,810_Hybrid vehicle,810_Electric car,1317_Car,1317_Lock,1317_Smart,1317_Door,273_Motorcycle,273_Canada,273_Harley-Davidson,273_Sales,273_Yamaha Motor Company,148_Arctic Cat,148_Snowmobile,148_Ski-Doo,148_Polaris Inc.,1147_Aircraft,1147_Cessna,1147_Sales,1147_Airplane,1212_Scooter,1212_Motorcycle,1212_Canada,1212_Vespa,1212_Kick scooter,610_Van,610_Sales,610_Ford,610_Truck,610_Sport utility vehicle,815_Car,815_Canada,815_Sales,815_Ford,815_Honda,1294_Speed limit,1294_Ontario,1294_Exam,1294_Traffic ticket,1294_Driving,170_Driving school,170_Driving,170_Driver's license,170_License,170_Vehicle registration plate,138_Car,138_Code,138_Oil,138_apk,89_Car,89_Canada,89_Wheel,89_Tire,89_Rim,473_Car,473_Canada,473_Sales,473_Auto Trader Group,473_Used car,803_Car,803_Auto show,803_Air show,803_2010,803_Toronto,121_IGA Extra,121_Super C,121_Circulaire,121_IGA,121_Grocery store,276_Restaurant,276_Domino's Pizza,276_Menu,276_Toronto,276_McDonald's,650_Door,650_Canada,650_Air conditioning,650_Wood,650_The Home Depot,73_Walmart Pharmacy,73_Canadian Tire,73_Walmart,73_Walmart Canada,73_Calgary,355_Bookstore,355_Renaud-Bray,355_Archambault,355_Book,1146_EB Games Australia,1146_Game,1146_EB Games,1146_Canada,1146_Video game,18_Canada,18_Kijiji,18_Canadian Tire,18_Walmart,18_Shoes,1225_Outlet store,1225_Canada,1225_Hour,1225_Wholesaling,1225_Costco,270_IKEA,270_Furniture,270_Light,270_Canada,659_Gas,659_Petroleum,659_Filling station,659_Oil,659_Gasoline,1268_GasBuddy,1268_Costco Gasoline,1268_Gasoline,1268_Costco,1268_Price,38_SAAQ,38_Canada,38_Insurance,38_Vehicle insurance,38_Desjardins Group,844_Canada,844_Barcode,844_Point of sale,844_Image scanner,614_Vancouver,614_Centre Bell,614_Cineplex Entertainment,614_Ticket,614_Ticketmaster
2004-11-01,5,32,4,11,65,76,79,55,62,59,55,71,68,87,14,31,16,41,36,13,13,26,24,21,0,16,26,93,9,55,25,0,71,31,9,22,26,0,47,63,18,21,46,14,13,14,47,4,41,14,42,13,54,53,45,23,0,65,72,49,0,75,62,63,34,38,29,30,27,0,42,56,51,59,0,83,77,60,68,60,9,77,0,62,94,32,39,14,22,77,43,14,32,0,78,76,36,39,30,69,63,42,0,57,20,6,6,0,39,0,6,1,4,15,38,14,6,82,24,25,46,15,60,15,0,27,16,21,34,47,86,31,90,0,37,29,37,51,23,0,18,16,49,31,29,0,0,11,17,83,31,28,56,71,0,59,48,1,0,14,0,1,17,68,59,66,0,34,62,62,0,70,36,0,72,50
2004-12-01,4,42,3,14,84,72,71,59,61,52,42,62,50,42,0,19,12,32,23,16,16,53,20,22,0,12,18,45,17,62,48,25,38,30,25,29,50,100,41,58,40,24,33,17,17,13,0,7,40,40,39,25,53,46,87,30,0,74,95,77,0,70,50,41,34,41,47,37,26,0,41,39,43,61,0,70,65,50,61,60,9,71,0,40,65,35,40,17,25,0,29,22,10,0,82,68,34,31,44,62,53,43,0,54,20,11,6,0,20,13,4,1,3,12,38,25,6,83,19,26,33,10,59,0,0,42,19,26,41,57,98,36,98,0,36,37,40,35,28,0,25,19,48,48,50,0,0,14,20,80,32,27,40,50,0,49,40,0,0,3,0,5,9,61,50,21,15,57,51,40,0,53,45,0,61,57
2005-01-01,4,31,6,10,56,78,73,72,64,54,84,62,54,41,22,28,11,35,36,15,15,63,22,30,0,21,27,37,19,57,100,21,62,57,21,30,49,0,28,70,54,16,47,15,15,16,37,7,40,44,44,31,63,59,46,12,0,72,81,90,0,68,49,11,36,25,16,27,42,0,53,64,46,68,0,71,75,89,55,60,0,41,0,60,81,21,38,11,14,0,26,20,21,0,72,55,32,21,28,71,66,54,0,64,64,100,4,0,67,11,7,1,5,10,34,21,6,86,26,30,44,15,66,47,0,15,11,13,24,77,100,25,97,0,33,32,28,81,20,0,14,11,36,50,36,0,0,9,17,85,28,28,51,76,0,59,38,1,0,6,0,4,11,73,57,35,12,40,63,55,0,59,26,0,58,42
2005-02-01,3,30,9,9,58,77,78,79,73,58,38,61,61,31,24,36,19,36,39,21,21,60,8,40,0,30,47,0,12,73,43,89,65,44,8,38,53,0,53,56,61,18,49,16,12,12,40,9,43,12,37,34,68,72,33,27,69,68,73,80,0,73,40,18,37,29,59,17,34,0,46,62,52,68,0,80,79,69,64,73,8,64,75,71,63,40,55,10,18,67,34,27,17,0,65,58,40,17,27,74,73,61,0,66,68,50,5,1,79,0,4,0,2,12,42,23,6,86,22,28,38,12,57,25,1,14,10,11,26,38,74,27,53,0,34,21,22,44,19,0,12,10,43,38,32,0,0,9,17,81,30,25,48,73,0,56,22,0,0,3,0,3,16,71,58,28,0,58,49,65,0,91,30,0,73,59
2005-03-01,4,27,8,10,52,85,82,81,86,59,44,54,45,63,40,61,22,51,58,25,25,43,42,38,0,38,69,56,16,70,55,19,73,64,19,37,57,0,37,70,41,31,47,24,11,5,17,9,48,30,54,9,74,71,89,39,58,59,50,50,0,78,51,41,37,43,21,35,53,0,54,58,52,86,0,86,86,67,65,89,20,57,32,100,72,47,59,17,20,0,32,17,22,0,74,63,40,20,24,85,72,75,0,71,55,21,8,0,67,19,4,1,5,13,33,22,6,79,26,28,40,17,64,11,0,18,11,12,38,49,51,21,60,0,39,31,19,58,19,0,13,11,48,36,41,0,0,10,19,87,30,27,54,82,0,58,61,1,0,28,0,6,12,71,63,56,11,31,51,95,0,78,62,0,96,79
2005-04-01,5,28,5,12,44,95,88,82,92,57,51,39,65,43,58,79,31,89,76,28,28,48,38,36,0,46,60,13,20,50,63,22,62,56,22,42,55,0,42,65,37,9,43,29,17,34,59,6,82,12,76,11,96,100,70,32,0,24,18,19,0,73,47,35,36,74,41,49,91,0,43,61,45,65,0,82,87,82,65,90,0,46,0,52,71,50,55,11,22,0,45,17,34,0,84,73,45,28,37,93,78,63,0,80,54,14,10,1,46,0,5,1,4,13,36,23,6,76,27,34,45,22,66,37,0,23,11,10,32,44,46,37,72,0,27,23,17,31,19,0,19,11,54,32,31,0,0,11,20,77,29,25,53,72,0,64,46,1,0,68,0,6,11,72,59,92,13,46,33,40,0,77,30,0,64,49
2005-05-01,4,31,6,11,52,86,82,75,86,56,63,62,71,44,42,74,29,86,76,36,36,52,51,45,0,45,43,23,18,66,19,59,55,51,33,47,50,0,46,71,38,28,47,23,17,21,18,15,53,42,57,30,77,72,88,23,0,16,15,12,0,67,66,37,40,74,30,48,73,0,49,49,47,69,0,80,81,69,59,84,14,52,33,57,80,44,62,16,22,0,44,26,26,0,76,65,44,24,39,81,73,65,0,76,37,4,16,0,24,0,6,1,6,13,36,16,6,87,24,26,46,34,73,11,0,28,12,13,36,41,65,25,73,0,31,22,17,28,19,0,21,12,48,57,30,68,0,11,17,80,26,24,52,80,0,54,54,0,0,24,0,5,26,70,64,50,0,67,50,52,0,58,23,0,69,66
2005-06-01,4,31,6,13,47,84,83,86,82,53,26,85,65,67,0,72,35,72,75,37,37,68,52,61,0,54,66,71,46,65,19,40,47,44,40,48,44,80,33,62,27,24,38,17,12,26,36,5,58,32,60,20,85,70,70,36,0,9,11,10,76,61,54,43,35,72,23,46,77,0,52,49,52,72,0,73,84,84,57,79,14,86,67,48,80,46,68,22,29,0,49,20,22,0,75,72,44,21,26,78,76,60,0,75,58,3,33,0,15,10,7,1,4,18,35,23,6,83,21,31,55,100,74,45,0,36,12,13,32,40,54,24,78,0,20,18,18,22,20,0,25,13,43,34,29,0,0,13,23,75,21,26,54,78,0,53,47,1,0,14,0,4,29,68,67,68,12,49,27,53,0,93,48,0,82,59
2005-07-01,5,37,8,12,57,88,95,94,89,61,45,95,81,100,22,70,30,74,71,57,57,73,67,68,0,61,81,100,26,68,20,21,34,38,35,50,57,0,39,55,31,38,40,19,21,22,57,3,40,45,45,42,79,82,47,81,65,18,10,9,0,74,66,46,29,80,87,66,97,21,74,32,40,64,0,74,100,100,65,85,7,100,0,56,50,65,67,18,29,0,50,25,29,0,84,66,33,21,32,84,89,57,0,77,48,3,85,0,18,21,8,2,7,13,37,14,5,93,20,26,52,69,73,0,1,33,14,16,37,58,64,24,70,0,32,30,20,30,20,0,23,14,42,61,33,0,0,12,25,87,22,31,51,75,0,52,34,1,0,14,0,6,29,71,68,45,13,82,82,56,0,82,46,0,71,57
2005-08-01,7,39,8,16,67,91,91,91,95,58,29,100,59,55,31,61,25,77,63,42,42,67,51,55,0,58,80,47,20,64,19,39,56,63,60,55,60,0,44,66,33,17,37,26,30,5,18,13,66,21,76,30,70,69,64,47,0,27,13,11,0,68,69,32,31,68,37,63,98,0,60,79,52,64,0,90,91,78,65,96,41,64,66,47,59,73,82,17,31,59,43,24,22,0,72,59,32,22,22,85,89,74,0,80,36,4,92,0,22,10,7,2,5,10,38,21,7,83,18,29,48,35,70,11,1,33,15,15,37,71,36,27,75,0,35,32,16,88,21,0,21,15,52,48,30,0,0,13,25,92,21,29,76,82,0,75,51,4,0,64,0,17,22,79,70,75,0,16,37,16,0,67,49,0,69,53
2005-09-01,5,30,9,11,63,78,81,73,90,50,71,77,72,98,19,45,21,55,56,22,22,69,49,37,0,31,37,31,10,59,17,35,50,45,24,37,35,70,38,52,10,24,46,40,22,23,31,17,68,0,73,0,62,77,70,31,54,31,28,19,0,52,44,38,34,58,20,74,75,0,48,33,50,61,0,69,80,54,52,98,24,68,29,51,61,37,51,16,26,0,38,13,25,0,65,58,28,24,24,70,90,64,0,69,34,5,36,0,43,0,6,2,5,14,37,18,7,81,23,29,42,18,75,49,2,21,11,13,37,92,64,27,89,0,36,33,24,64,20,1,17,11,48,59,35,0,0,11,21,84,25,27,77,93,0,78,100,8,0,100,1,32,21,64,57,52,11,31,48,37,0,81,70,0,82,64
2005-10-01,6,30,9,10,42,70,75,66,83,48,40,78,49,67,8,42,15,39,40,13,13,50,30,31,0,19,42,0,13,41,15,16,34,22,27,31,48,0,49,51,31,30,39,26,17,12,57,12,38,17,38,16,48,46,55,47,0,42,52,41,0,48,54,34,30,43,54,43,59,16,45,44,36,65,0,66,80,61,55,95,6,60,27,42,71,43,57,15,23,47,31,17,25,0,61,73,34,34,36,68,68,44,0,62,27,8,4,0,58,8,6,2,6,11,37,29,6,78,24,29,40,15,70,18,1,22,14,17,31,39,72,26,62,0,34,35,42,45,20,0,17,15,49,58,35,0,47,14,17,82,23,23,65,71,0,64,49,1,0,37,0,7,22,57,50,20,0,57,24,50,0,78,86,0,84,60
2005-11-01,6,34,9,14,53,63,66,60,69,45,70,86,61,88,8,21,11,33,27,13,13,42,7,19,0,13,12,9,9,42,0,16,36,22,32,36,48,63,57,52,30,39,34,18,9,25,42,9,22,0,28,8,48,51,51,9,49,49,60,44,0,73,39,34,30,27,18,19,39,16,47,58,39,65,49,62,68,56,47,74,0,54,26,46,77,32,48,13,24,0,28,12,15,0,61,72,35,45,25,60,56,56,0,53,13,6,3,0,36,8,5,1,6,11,44,24,7,86,23,31,40,12,63,9,1,29,17,20,35,57,76,38,63,0,42,41,32,35,25,1,24,18,52,46,29,0,47,14,19,83,30,25,51,67,0,62,61,1,0,15,0,4,13,55,52,60,19,56,56,54,0,87,85,0,98,70
2005-12-01,6,47,9,18,67,57,59,59,63,43,27,42,56,40,9,25,17,30,25,9,9,38,13,19,0,15,16,0,12,32,0,32,38,32,38,22,51,0,44,45,42,59,44,15,10,21,0,6,25,43,24,40,48,52,48,33,0,58,85,62,0,68,32,22,33,28,6,25,35,0,36,44,50,61,0,53,61,72,44,66,17,64,54,34,69,38,43,8,15,0,27,21,17,0,62,59,23,26,27,56,46,45,0,53,18,12,4,0,19,8,6,1,6,12,44,31,7,97,18,24,32,9,54,9,2,39,21,24,61,63,92,44,100,0,47,48,37,72,30,0,29,23,50,50,34,0,0,17,20,79,27,29,50,65,0,50,36,1,0,15,0,3,12,49,48,41,0,31,38,30,0,70,84,0,67,60
2006-01-01,5,29,11,10,40,65,67,69,73,52,17,52,76,46,29,23,14,33,24,13,13,54,16,32,0,21,35,16,10,49,26,54,55,30,46,37,55,54,40,87,100,56,39,17,17,4,12,10,19,43,25,34,57,55,67,24,0,60,69,57,0,58,58,18,32,29,21,25,41,0,47,50,48,70,0,60,70,72,55,77,19,48,46,47,63,46,57,17,24,0,27,16,15,0,53,49,26,16,22,60,55,64,0,58,59,90,4,0,52,0,11,3,7,11,40,26,7,88,20,23,38,8,63,8,2,26,12,14,27,57,86,39,76,0,35,30,31,53,20,1,15,13,41,33,30,0,0,13,21,97,25,27,58,70,0,66,39,1,0,17,0,3,18,61,54,63,8,44,44,36,0,61,46,0,58,41
2006-02-01,7,27,17,11,31,62,68,69,70,51,34,67,45,28,23,31,17,37,32,18,18,49,12,33,0,35,36,26,18,40,0,43,41,9,29,39,41,58,41,58,38,48,34,13,13,19,0,7,21,46,21,29,56,60,47,34,89,67,66,57,0,72,44,20,44,31,11,31,36,0,45,49,43,57,0,63,71,69,54,73,10,56,48,42,59,42,53,14,20,0,24,13,13,0,52,55,28,15,25,62,59,58,0,61,63,57,7,1,76,0,8,2,8,8,41,26,7,87,22,27,41,15,61,0,0,21,10,10,33,34,65,26,51,0,24,27,24,24,17,1,14,10,42,35,29,0,86,12,19,86,27,26,56,68,0,65,43,0,0,6,0,3,17,62,51,24,9,42,37,31,0,79,48,0,65,53
2006-03-01,5,28,12,12,41,69,84,77,81,51,46,85,49,74,20,40,24,48,43,25,25,41,27,31,0,41,52,8,20,50,37,25,37,35,30,44,55,0,51,58,42,45,44,14,13,13,11,6,22,34,24,44,69,61,79,19,39,63,48,48,0,52,40,17,40,40,24,31,50,0,49,51,45,74,0,69,75,78,55,83,9,64,21,67,56,49,61,11,22,0,32,19,22,0,60,54,34,22,30,75,65,67,0,69,45,17,11,0,61,26,8,2,6,12,38,24,7,79,21,25,41,20,65,7,2,23,11,12,36,39,42,42,70,0,26,29,26,21,19,1,19,13,53,49,25,44,0,11,21,87,25,25,64,75,0,68,36,1,0,9,0,7,25,61,58,38,0,43,15,47,0,64,52,0,55,41
2006-04-01,6,28,15,12,44,72,96,77,95,56,29,76,47,60,29,62,36,71,71,26,26,67,40,36,0,49,62,24,27,48,26,13,48,38,45,49,64,0,38,54,49,41,43,28,14,14,24,12,27,29,28,14,91,89,47,36,0,34,19,16,0,55,37,15,33,70,56,53,85,0,50,54,48,72,0,64,82,60,58,100,9,51,91,36,65,49,68,14,22,0,39,19,23,0,63,71,47,27,31,73,73,66,0,67,47,8,6,0,47,0,9,3,7,10,36,26,7,75,25,28,46,19,67,0,2,35,14,15,37,31,37,24,56,0,28,29,21,23,18,2,24,14,59,52,26,0,81,16,21,77,20,27,60,70,0,73,52,3,0,37,0,8,18,55,55,52,0,46,18,21,0,74,80,0,76,47
2006-05-01,5,30,12,13,51,71,79,81,88,55,50,73,66,51,28,58,31,73,63,33,33,56,58,45,0,50,55,15,6,47,38,26,34,31,44,53,83,0,35,51,34,71,48,31,14,10,0,13,27,21,33,20,82,75,55,46,0,17,11,10,0,57,48,28,43,74,49,52,98,13,60,56,45,66,40,70,70,70,54,89,18,60,22,34,72,53,71,20,28,77,34,33,26,0,65,61,40,23,33,67,63,68,0,67,31,1,19,0,17,13,7,2,6,13,40,17,6,83,19,29,50,60,55,15,4,46,14,14,45,45,51,21,57,0,28,26,15,11,19,2,28,14,57,56,26,0,0,15,25,79,18,29,56,79,0,64,61,0,0,21,0,6,20,63,59,77,0,42,40,41,0,57,45,0,61,57
2006-06-01,5,30,14,15,52,71,75,81,83,50,46,59,47,26,36,64,30,66,62,39,39,51,65,50,0,61,68,32,21,33,26,13,44,37,50,55,91,0,44,59,32,37,35,24,12,18,24,14,33,29,36,34,84,62,57,40,0,11,10,9,0,55,44,29,30,54,30,44,84,13,64,58,45,64,0,69,71,57,55,82,5,67,45,36,55,62,71,18,26,0,40,32,24,0,61,59,36,21,21,69,60,66,0,70,40,4,87,0,14,14,9,2,8,7,37,24,6,78,21,29,50,59,65,23,0,50,15,15,40,48,49,24,61,0,29,32,20,38,18,2,28,15,48,46,22,0,0,16,23,73,21,25,57,100,0,60,55,1,0,16,0,6,18,58,59,86,0,44,50,28,0,83,35,0,66,61
2006-07-01,7,35,15,17,66,74,88,95,88,56,32,73,38,38,44,57,23,66,63,53,53,96,71,68,0,57,82,41,21,59,0,0,58,52,32,57,51,0,56,58,36,43,47,34,21,11,25,27,28,29,29,28,74,75,68,49,0,15,5,8,0,66,61,30,26,66,21,52,85,0,66,51,48,61,0,67,79,58,60,90,19,48,46,40,57,58,74,18,26,41,35,20,23,0,63,59,31,21,27,75,73,87,0,76,37,3,36,0,14,14,10,2,7,12,39,24,6,89,23,30,53,68,58,31,3,48,18,21,45,33,33,15,62,0,38,34,24,39,19,2,30,19,45,43,33,0,0,17,28,86,21,31,55,62,0,58,32,0,0,30,0,5,24,63,62,35,0,36,33,15,0,77,35,0,68,64
